time,open,high,low,close,volume
2022-01-25 16:30:00,136.0,136.0,135.56,135.56,1555
2022-01-25 16:15:00,136.1,136.5,135.56,136.0,164823
2022-01-25 16:00:00,136.53,136.7994,135.58,136.125,1417060
2022-01-25 15:45:00,136.1,136.75,135.71,136.52,765527
2022-01-25 15:30:00,136.61,136.87,135.95,136.06,633324
2022-01-25 15:15:00,137.16,137.25,136.15,136.61,785415
2022-01-25 15:00:00,136.8427,137.3361,136.61,137.15,577461
2022-01-25 14:45:00,136.03,136.8965,136.01,136.8301,660283
2022-01-25 14:30:00,136.05,136.23,135.6714,136.015,591607
2022-01-25 14:15:00,134.94,136.16,134.87,136.03,801117
2022-01-25 14:00:00,134.12,134.94,133.97,134.94,499287
2022-01-25 13:45:00,133.2385,134.23,133.22,134.17,534738
2022-01-25 13:30:00,132.01,133.29,131.73,133.24,599358
2022-01-25 13:15:00,131.91,132.23,131.56,132.01,341218
2022-01-25 13:00:00,132.5209,132.72,131.8,131.92,346465
2022-01-25 12:45:00,133.28,133.33,132.34,132.52,489924
2022-01-25 12:30:00,133.83,133.9,132.79,133.285,422389
2022-01-25 12:15:00,132.67,133.94,132.54,133.85,548404
2022-01-25 12:00:00,132.26,133.2499,132.2114,132.67,365330
2022-01-25 11:45:00,131.815,132.55,131.62,132.27,400411
2022-01-25 11:30:00,131.395,132.54,131.0553,131.8075,374521
2022-01-25 11:15:00,131.76,132.34,131.06,131.4,511887
2022-01-25 11:00:00,132.19,133.57,131.5,131.77,704562
2022-01-25 10:45:00,132.45,133.21,131.7,132.13,783578
2022-01-25 10:30:00,130.55,132.8,130.44,132.4,1032885
2022-01-25 10:15:00,128.957,130.65,128.83,130.505,754429
2022-01-25 10:00:00,129.44,129.84,128.3,128.91,1023389
2022-01-25 09:45:00,129.14,131.73,128.56,129.49,2315868
2022-01-25 09:30:00,129.35,130.58,129.0,129.0,38179
2022-01-25 09:15:00,129.75,131.0,128.7582,129.25,38526
2022-01-25 09:00:00,129.75,130.0,129.5,129.75,11264
2022-01-25 08:45:00,128.52,129.99,128.52,129.94,24962
2022-01-25 08:30:00,129.5,129.5,128.49,128.75,32109
2022-01-25 08:15:00,129.25,131.01,128.75,129.29,65720
2022-01-25 08:00:00,130.5,130.69,130.06,130.68,12971
2022-01-25 07:45:00,130.82,130.82,130.75,130.8,1048
2022-01-25 07:30:00,130.75,131.2,130.52,130.97,7721
2022-01-25 07:15:00,131.6,131.6,129.29,130.41,35996
2022-01-25 07:00:00,131.3,131.3,131.3,131.3,349
2022-01-25 06:45:00,131.42,131.42,131.23,131.33,1710
2022-01-25 06:30:00,132.45,132.45,132.0,132.0,5270
2022-01-25 06:00:00,132.93,132.93,132.4,132.4,4275
2022-01-25 05:45:00,132.86,133.48,132.85,133.45,2430
2022-01-25 05:30:00,132.98,132.98,132.98,132.98,150
2022-01-25 05:15:00,132.4,132.4,132.4,132.4,918
2022-01-25 05:00:00,132.4,132.4,132.4,132.4,100
2022-01-25 04:45:00,132.3,132.3,132.3,132.3,260
2022-01-25 04:15:00,132.0,132.0,132.0,132.0,270
2022-01-24 20:00:00,131.8,132.29,131.5,131.99,46210
2022-01-24 19:45:00,132.1,132.1399,131.49,131.8,25116
2022-01-24 19:30:00,130.84,132.2,130.6501,132.0,30710
2022-01-24 19:15:00,130.6999,131.2,130.3,130.84,29630
2022-01-24 19:00:00,129.59,130.9999,129.59,130.5,49120
2022-01-24 18:45:00,129.6,129.8,128.86,129.5,25760
2022-01-24 18:30:00,129.15,129.9,128.82,129.6,65729
2022-01-24 18:15:00,131.26,131.35,128.5,129.34,161910
2022-01-24 18:00:00,132.35,132.35,131.0,131.26,125247
2022-01-24 17:45:00,134.52,134.55,130.25,132.36,258649
2022-01-24 17:30:00,135.2,135.75,134.14,134.72,136090
2022-01-24 17:15:00,136.29,136.42,128.82,135.2,154141
2022-01-24 17:00:00,136.1,136.78,128.82,136.21,187671
2022-01-24 16:45:00,135.11,136.88,128.82,136.08,204704
2022-01-24 16:30:00,136.92,138.45,128.82,135.11,578215
2022-01-24 16:15:00,128.82,138.0,127.23,136.96,693882
2022-01-24 16:00:00,127.68,129.15,127.6,129.06,1288729
2022-01-24 15:45:00,126.995,128.04,126.7985,127.66,429659
2022-01-24 15:30:00,126.82,127.28,126.62,126.98,325112
2022-01-24 15:15:00,125.99,126.8499,125.95,126.825,264381
2022-01-24 15:00:00,125.54,126.06,125.19,125.99,252828
2022-01-24 14:45:00,125.835,126.07,125.5,125.585,258106
2022-01-24 14:30:00,126.255,126.359,125.62,125.835,217101
2022-01-24 14:15:00,126.49,127.08,126.155,126.28,227483
2022-01-24 14:00:00,125.655,126.67,125.655,126.49,238251
2022-01-24 13:45:00,125.4535,126.11,125.37,125.655,195639
2022-01-24 13:30:00,125.715,126.13,125.29,125.49,279883
2022-01-24 13:15:00,125.34,125.93,124.92,125.7116,370382
2022-01-24 13:00:00,124.67,125.62,124.5525,125.36,327560
2022-01-24 12:45:00,124.86,124.88,124.193,124.63,255222
2022-01-24 12:30:00,124.9,124.9342,124.37,124.87,267591
2022-01-24 12:15:00,125.13,125.35,124.65,124.89,336202
2022-01-24 12:00:00,125.26,125.33,124.43,125.155,482511
2022-01-24 11:45:00,126.225,126.225,125.15,125.24,372404
2022-01-24 11:30:00,126.03,126.2395,125.73,126.215,308082
2022-01-24 11:15:00,126.415,126.5852,125.92,126.0,301477
2022-01-24 11:00:00,127.095,127.2,126.3843,126.475,301469
2022-01-24 10:45:00,126.49,127.17,126.29,127.1005,288208
2022-01-24 10:30:00,126.47,126.87,126.05,126.5208,354997
2022-01-24 10:15:00,127.255,127.425,126.12,126.471,410654
2022-01-24 10:00:00,127.78,127.91,126.95,127.25,1068675
2022-01-24 09:45:00,127.99,128.37,127.0,127.82,684487
2022-01-24 09:30:00,127.9,128.0,127.49,127.65,4871
2022-01-24 09:15:00,128.08,128.08,127.0,127.01,8591
2022-01-24 09:00:00,128.25,128.37,128.08,128.37,3614
2022-01-24 08:45:00,128.4,128.4,128.08,128.25,3175
2022-01-24 08:30:00,129.0,129.15,128.49,128.5,4103
2022-01-24 08:15:00,128.81,129.28,128.4,129.0,9426
2022-01-24 08:00:00,128.51,128.8,128.4,128.7,3532
2022-01-24 07:45:00,128.8,128.8,128.6,128.6,652
2022-01-24 07:30:00,128.63,128.63,128.4,128.5,2744
2022-01-24 07:15:00,129.0,129.0,129.0,129.0,524
2022-01-24 06:30:00,128.54,128.54,128.54,128.54,400
2022-01-24 06:00:00,128.61,128.9,128.61,128.9,1198
2022-01-24 05:45:00,128.61,128.61,128.61,128.61,187
2022-01-24 05:30:00,129.01,129.01,129.01,129.01,289
2022-01-24 04:30:00,129.22,129.22,129.22,129.22,153
2022-01-21 20:00:00,129.3,129.3,129.3,129.3,100
2022-01-21 19:45:00,129.12,129.12,129.12,129.12,100
2022-01-21 19:15:00,129.38,129.38,129.38,129.38,200
2022-01-21 18:30:00,129.06,129.06,129.06,129.06,200
2022-01-21 18:15:00,129.23,129.23,129.18,129.18,759
2022-01-21 18:00:00,129.4,129.4,129.4,129.4,1281
2022-01-21 17:30:00,129.75,129.75,129.4,129.4,302
2022-01-21 17:15:00,129.47,129.47,129.45,129.45,5864
2022-01-21 17:00:00,129.42,129.42,129.4,129.4,228
2022-01-21 16:45:00,129.4,129.4,129.4,129.4,501
2022-01-21 16:30:00,129.4,129.45,129.4,129.4,6301
2022-01-21 16:15:00,129.35,129.35,129.17,129.18,186680
2022-01-21 16:00:00,129.545,129.82,129.33,129.35,692658
2022-01-21 15:45:00,129.4,129.74,129.29,129.55,280020
2022-01-21 15:30:00,129.67,130.08,129.27,129.38,223047
2022-01-21 15:15:00,129.9093,130.05,129.53,129.69,170401
2022-01-21 15:00:00,130.16,130.2,129.83,129.94,143544
2022-01-21 14:45:00,130.19,130.35,130.12,130.145,85301
2022-01-21 14:30:00,130.44,130.5621,130.15,130.19,143577
2022-01-21 14:15:00,130.44,130.57,130.27,130.43,83236
2022-01-21 14:00:00,130.5,130.66,130.32,130.41,85821
2022-01-21 13:45:00,130.27,130.55,130.25,130.475,68826
